Symbol,Date,NOCP
COST,9/14/2018 16:00,235.38
COST,9/17/2018 16:00,232
COST,9/18/2018 16:00,234.35
COST,9/19/2018 16:00,233.85
COST,9/20/2018 16:00,233.92
COST,9/21/2018 16:00,234.76
COST,9/24/2018 16:00,233.34
COST,9/25/2018 16:00,232.93
COST,9/26/2018 16:00,233.81
COST,9/27/2018 16:00,234
COST,9/28/2018 16:00,234.88
COST,10/1/2018 16:00,234.65
COST,10/2/2018 16:00,236.35
COST,10/3/2018 16:00,233.2
COST,10/4/2018 16:00,231.68
COST,10/5/2018 16:00,218.82
COST,10/8/2018 16:00,223.93
COST,10/9/2018 16:00,224.17
COST,10/10/2018 16:00,221.05
COST,10/11/2018 16:00,221.82
COST,10/12/2018 16:00,226.95
COST,10/15/2018 16:00,224.51
COST,10/16/2018 16:00,227.68
COST,10/17/2018 16:00,228.49
COST,10/18/2018 16:00,228.58
COST,10/19/2018 16:00,229.67
COST,10/22/2018 16:00,229.06
COST,10/23/2018 16:00,228.75
COST,10/24/2018 16:00,223.76
COST,10/25/2018 16:00,226.4
COST,10/26/2018 16:00,218.19
COST,10/29/2018 16:00,222.42
COST,10/30/2018 16:00,227.92
COST,10/31/2018 16:00,228.63
COST,11/1/2018 16:00,229.6
COST,11/2/2018 16:00,230.16
COST,11/5/2018 16:00,234.45
COST,11/6/2018 16:00,236.71
COST,11/7/2018 16:00,240.37
COST,11/8/2018 16:00,238.7
COST,11/9/2018 16:00,237.74
COST,11/12/2018 16:00,234.48
COST,11/13/2018 16:00,234.14
COST,11/14/2018 16:00,233.31
COST,11/15/2018 16:00,229.94
COST,11/16/2018 16:00,231.02
COST,11/19/2018 16:00,228.74
COST,11/20/2018 16:00,219.31
COST,11/21/2018 16:00,218.57
COST,11/23/2018 13:00,220.06
COST,11/26/2018 16:00,219.45
COST,11/27/2018 16:00,223.01
COST,11/28/2018 16:00,230.34
COST,11/29/2018 16:00,231
COST,11/30/2018 16:00,231.28
COST,12/3/2018 16:00,232.08
COST,12/4/2018 16:00,226.35
COST,12/6/2018 16:00,233.2
COST,12/7/2018 16:00,224.86
COST,12/10/2018 16:00,222.66
COST,12/11/2018 16:00,226.5
COST,12/12/2018 16:00,227.8
COST,12/13/2018 16:00,226.51
COST,12/14/2018 16:00,207.06
COST,12/17/2018 16:00,202.23
COST,12/18/2018 16:00,202.99
COST,12/19/2018 16:00,201.41
COST,12/20/2018 16:00,197.13
COST,12/21/2018 16:00,194.52
COST,12/24/2018 13:00,189.99
COST,12/26/2018 16:00,198.63
COST,12/27/2018 16:00,201.08
COST,12/28/2018 16:00,202.04
COST,12/31/2018 16:00,203.71
COST,1/2/2019 16:00,204.76
COST,1/3/2019 16:00,200.42
COST,1/4/2019 16:00,206.24
COST,1/7/2019 16:00,207
COST,1/8/2019 16:00,208.55
COST,1/9/2019 16:00,209.9
COST,1/10/2019 16:00,210.64
COST,1/11/2019 16:00,210.51
COST,1/14/2019 16:00,209
COST,1/15/2019 16:00,211.03
COST,1/16/2019 16:00,210.18
COST,1/17/2019 16:00,211.46
COST,1/18/2019 16:00,213.59
COST,1/22/2019 16:00,212.4
COST,1/23/2019 16:00,212.09
COST,1/24/2019 16:00,210.31
COST,1/25/2019 16:00,209.07
COST,1/28/2019 16:00,210.77
COST,1/29/2019 16:00,210.31
COST,1/30/2019 16:00,211.35
COST,1/31/2019 16:00,214.63
COST,2/1/2019 16:00,210.27
COST,2/4/2019 16:00,211.18
COST,2/5/2019 16:00,211.61
COST,2/6/2019 16:00,211.6
COST,2/7/2019 16:00,209.05
COST,2/8/2019 16:00,207.75
COST,2/11/2019 16:00,208.72
COST,2/12/2019 16:00,211.9
COST,2/13/2019 16:00,212.8
COST,2/14/2019 16:00,213.84
COST,2/15/2019 16:00,216.47
COST,2/19/2019 16:00,218.12
COST,2/20/2019 16:00,217.11
COST,2/21/2019 16:00,215.23
COST,2/22/2019 16:00,216.29
COST,2/25/2019 16:00,217.05
COST,2/26/2019 16:00,217.61
COST,2/27/2019 16:00,218.05
COST,2/28/2019 16:00,218.74
COST,3/1/2019 16:00,219.44
COST,3/4/2019 16:00,218.41
COST,3/5/2019 16:00,219.82
COST,3/6/2019 16:00,219.23
COST,3/7/2019 16:00,216.79
COST,3/8/2019 16:00,227.82
COST,3/11/2019 16:00,229.69
COST,3/12/2019 16:00,232.96
COST,3/13/2019 16:00,236.38
COST,3/14/2019 16:00,233.84
COST,3/15/2019 16:00,233.6
COST,3/18/2019 16:00,236.59
COST,3/19/2019 16:00,237.05
COST,3/20/2019 16:00,236.98
COST,3/21/2019 16:00,239.54
COST,3/22/2019 16:00,237.56
COST,3/25/2019 16:00,236.97
COST,3/26/2019 16:00,239.07
COST,3/27/2019 16:00,239.41
COST,3/28/2019 16:00,241.22
COST,3/29/2019 16:00,242.14
COST,4/1/2019 16:00,244.19
COST,4/2/2019 16:00,240.5
COST,4/3/2019 16:00,242.48
COST,4/4/2019 16:00,244.4
COST,4/5/2019 16:00,245.87
COST,4/8/2019 16:00,246.52
COST,4/9/2019 16:00,244.91
COST,4/10/2019 16:00,245.61
COST,4/11/2019 16:00,241.24
COST,4/12/2019 16:00,241.95
COST,4/15/2019 16:00,246.33
COST,4/16/2019 16:00,245.34
COST,4/17/2019 16:00,245.56
COST,4/18/2019 16:00,245.81
COST,4/22/2019 16:00,243.42
COST,4/23/2019 16:00,245.58
COST,4/24/2019 16:00,247.96
COST,4/25/2019 16:00,245.6
COST,4/26/2019 16:00,243.82
COST,4/29/2019 16:00,244.28
COST,4/30/2019 16:00,245.53
COST,5/1/2019 16:00,241.59
COST,5/2/2019 16:00,242.69
COST,5/3/2019 16:00,244.62
COST,5/6/2019 16:00,244.23
COST,5/7/2019 16:00,240.18
COST,5/8/2019 16:00,241.34
COST,5/9/2019 16:00,243.47
