Symbol,Date,NOCP
GOOG,5/11/2018 16:00,1098.26
GOOG,5/14/2018 16:00,1100.2
GOOG,5/15/2018 16:00,1079.23
GOOG,5/16/2018 16:00,1081.77
GOOG,5/17/2018 16:00,1078.59
GOOG,5/18/2018 16:00,1066.36
GOOG,5/21/2018 16:00,1079.58
GOOG,5/22/2018 16:00,1069.73
GOOG,5/23/2018 16:00,1079.69
GOOG,5/24/2018 16:00,1079.24
GOOG,5/25/2018 16:00,1075.66
GOOG,5/29/2018 16:00,1060.32
GOOG,5/30/2018 16:00,1067.8
GOOG,5/31/2018 16:00,1084.99
GOOG,6/1/2018 16:00,1119.5
GOOG,6/4/2018 16:00,1139.29
GOOG,6/5/2018 16:00,1139.66
GOOG,6/6/2018 16:00,1136.88
GOOG,6/7/2018 16:00,1123.86
GOOG,6/8/2018 16:00,1120.87
GOOG,6/11/2018 16:00,1129.99
GOOG,6/12/2018 16:00,1139.32
GOOG,6/13/2018 16:00,1134.79
GOOG,6/14/2018 16:00,1152.12
GOOG,6/15/2018 16:00,1152.26
GOOG,6/18/2018 16:00,1173.46
GOOG,6/19/2018 16:00,1168.06
GOOG,6/20/2018 16:00,1169.84
GOOG,6/21/2018 16:00,1157.66
GOOG,6/22/2018 16:00,1155.48
GOOG,6/25/2018 16:00,1124.81
GOOG,6/26/2018 16:00,1118.46
GOOG,6/27/2018 16:00,1103.98
GOOG,6/28/2018 16:00,1114.22
GOOG,6/29/2018 16:00,1115.65
GOOG,7/2/2018 16:00,1127.46
GOOG,7/3/2018 13:00,1102.89
GOOG,7/5/2018 16:00,1124.27
GOOG,7/6/2018 16:00,1140.17
GOOG,7/9/2018 16:00,1154.05
GOOG,7/10/2018 16:00,1152.84
GOOG,7/11/2018 16:00,1153.9
GOOG,7/12/2018 16:00,1183.48
GOOG,7/13/2018 16:00,1188.82
GOOG,7/16/2018 16:00,1183.86
GOOG,7/17/2018 16:00,1198.8
GOOG,7/18/2018 16:00,1195.88
GOOG,7/19/2018 16:00,1186.96
GOOG,7/20/2018 16:00,1184.91
GOOG,7/23/2018 16:00,1205.5
GOOG,7/24/2018 16:00,1248.08
GOOG,7/25/2018 16:00,1263.7
GOOG,7/26/2018 16:00,1268.33
GOOG,7/27/2018 16:00,1238.5
GOOG,7/30/2018 16:00,1219.74
GOOG,7/31/2018 16:00,1217.26
GOOG,8/1/2018 16:00,1220.01
GOOG,8/2/2018 16:00,1226.15
GOOG,8/3/2018 16:00,1223.71
GOOG,8/6/2018 16:00,1224.77
GOOG,8/7/2018 16:00,1242.22
GOOG,8/8/2018 16:00,1245.61
GOOG,8/9/2018 16:00,1249.1
GOOG,8/10/2018 16:00,1237.61
GOOG,8/13/2018 16:00,1235.01
GOOG,8/14/2018 16:00,1242.1
GOOG,8/15/2018 16:00,1214.38
GOOG,8/16/2018 16:00,1206.49
GOOG,8/17/2018 16:00,1200.96
GOOG,8/20/2018 16:00,1207.77
GOOG,8/21/2018 16:00,1201.62
GOOG,8/22/2018 16:00,1207.33
GOOG,8/23/2018 16:00,1205.38
GOOG,8/24/2018 16:00,1220.65
GOOG,8/27/2018 16:00,1241.82
GOOG,8/28/2018 16:00,1231.15
GOOG,8/29/2018 16:00,1249.3
GOOG,8/30/2018 16:00,1239.12
GOOG,8/31/2018 16:00,1218.19
GOOG,9/4/2018 16:00,1197
GOOG,9/5/2018 16:00,1186.48
GOOG,9/6/2018 16:00,1171.44
GOOG,9/7/2018 16:00,1164.83
GOOG,9/10/2018 16:00,1164.64
GOOG,9/11/2018 16:00,1177.36
GOOG,9/12/2018 16:00,1162.82
GOOG,9/13/2018 16:00,1175.33
GOOG,9/14/2018 16:00,1172.53
GOOG,9/17/2018 16:00,1156.05
GOOG,9/18/2018 16:00,1161.22
GOOG,9/19/2018 16:00,1171.09
GOOG,9/20/2018 16:00,1186.87
GOOG,9/21/2018 16:00,1166.09
GOOG,9/24/2018 16:00,1173.37
GOOG,9/25/2018 16:00,1184.65
GOOG,9/26/2018 16:00,1180.49
GOOG,9/27/2018 16:00,1194.64
GOOG,9/28/2018 16:00,1193.47
GOOG,10/1/2018 16:00,1195.31
GOOG,10/2/2018 16:00,1200.11
GOOG,10/3/2018 16:00,1202.95
GOOG,10/4/2018 16:00,1168.19
GOOG,10/5/2018 16:00,1157.35
GOOG,10/8/2018 16:00,1148.97
GOOG,10/9/2018 16:00,1138.82
GOOG,10/10/2018 16:00,1081.22
GOOG,10/11/2018 16:00,1079.32
GOOG,10/12/2018 16:00,1110.08
GOOG,10/15/2018 16:00,1092.25
GOOG,10/16/2018 16:00,1121.28
GOOG,10/17/2018 16:00,1115.69
GOOG,10/18/2018 16:00,1087.97
GOOG,10/19/2018 16:00,1096.46
GOOG,10/22/2018 16:00,1101.16
GOOG,10/23/2018 16:00,1103.69
GOOG,10/24/2018 16:00,1050.71
GOOG,10/25/2018 16:00,1095.57
GOOG,10/26/2018 16:00,1071.47
GOOG,10/29/2018 16:00,1020.08
GOOG,10/30/2018 16:00,1036.21
GOOG,10/31/2018 16:00,1076.77
GOOG,11/1/2018 16:00,1070
GOOG,11/2/2018 16:00,1057.79
GOOG,11/5/2018 16:00,1040.09
GOOG,11/6/2018 16:00,1055.81
GOOG,11/7/2018 16:00,1093.39
GOOG,11/8/2018 16:00,1082.4
GOOG,11/9/2018 16:00,1066.15
GOOG,11/12/2018 16:00,1038.63
GOOG,11/13/2018 16:00,1036.05
GOOG,11/14/2018 16:00,1043.66
GOOG,11/15/2018 16:00,1064.71
GOOG,11/16/2018 16:00,1061.49
GOOG,11/19/2018 16:00,1020
GOOG,11/20/2018 16:00,1025.76
GOOG,11/21/2018 16:00,1037.61
